"epgu_id";"ku_id";"reg_id";"create_date";"update_date"
"76969628";"43000001094";"61372";"2014-11-25 17:15:34.916+03";"2014-11-25 18:09:01.575+03"
"76982021";"43000001101";"61374";"2014-11-25 18:56:31.678+03";"2014-11-25 20:25:13.979+03"
"76991547";"43000001104";"61376";"2014-11-25 20:27:41.699+03";"2014-11-25 20:41:04.883+03"
"76993209";"43000001105";"61377";"2014-11-25 20:43:15.884+03";"2014-11-25 20:47:35.265+03"
"77039735";"43000001113";"61384";"2014-11-26 11:12:23.847+03";"2014-11-26 11:17:40.455+03"
"77040217";"43000001114";"61383";"2014-11-26 11:15:13.155+03";"2014-11-26 11:43:00.598+03"
"77048627";"43000001130";"61388";"2014-11-26 12:23:12.194+03";"2014-11-26 13:00:29.132+03"
"77055662";"43000001139";"61392";"2014-11-26 13:26:22.212+03";"2014-11-26 13:33:44.243+03"
"78906248";"43000003081";"121992";"2014-12-18 18:35:20.399+03";"2014-12-23 16:13:01.522+03"
"78912528";"43000003109";"121995";"2014-12-18 20:09:20.707+03";"2018-03-22 10:36:37.359+03"
"78135464";"43000003908";"122052";"2014-12-24 11:50:44.296+03";"2016-06-02 12:49:00.953+03"
"77815110";"43000004328";"122130";"2014-12-26 16:31:09.046+03";"2015-06-04 16:14:12.483+03"
"80451492";"43000006563";"122581";"2015-01-14 17:12:22.062+03";"2019-11-03 10:39:10.19+03"
"80620056";"43000007088";"122729";"2015-01-16 16:18:20+03";"2016-04-25 11:23:36.143+03"
"80672898";"43000007339";"122747";"2015-01-17 17:11:54.733+03";"2016-09-22 12:07:44.151+03"
"80725808";"43000007457";"122753";"2015-01-18 12:57:17.43+03";"2015-06-09 14:21:22.342+03"
"80912161";"43000008236";"122956";"2015-01-20 16:26:10.33+03";"2018-03-26 15:43:59.22+03"
"80912519";"43000008256";"122962";"2015-01-20 16:50:12.322+03";"2015-05-21 09:04:50.631+03"
"81466042";"43000010096";"123390";"2015-01-27 14:26:03.272+03";"2015-11-30 13:45:31.641+03"
"81536770";"43000010246";"123479";"2015-01-28 11:35:17.586+03";"2018-03-26 10:44:54.958+03"
"81553530";"43000010317";"123499";"2015-01-28 13:16:37.608+03";"2018-03-28 08:40:10.622+03"
"81761407";"43000011538";"123717";"2015-01-30 18:58:37.101+03";"2017-06-14 08:49:31.879+03"
"81905056";"43000012199";"123751";"2015-02-02 08:30:21.757+03";"2015-04-30 14:03:41.501+03"
"81910325";"43000012228";"123770";"2015-02-02 10:16:31.953+03";"2016-05-25 21:05:28.632+03"
"81924458";"43000012257";"123796";"2015-02-02 12:00:13.603+03";"2016-09-14 16:16:28.716+03"
"81929850";"43000012298";"123806";"2015-02-02 13:15:15.158+03";"2016-06-02 13:30:54.24+03"
"82078114";"43000013037";"123956";"2015-02-03 22:04:38.39+03";"2019-03-26 15:04:40.98+03"
"82028415";"43000013476";"124140";"2015-02-05 09:16:48.012+03";"2017-10-17 13:54:12.446+03"
"82258077";"43000013668";"124271";"2015-02-05 23:35:33.686+03";"2018-03-28 12:23:40.442+03"
"82284467";"43000013743";"124315";"2015-02-06 11:38:25.314+03";"2017-06-08 08:26:07.051+03"
"82286216";"43000013755";"124318";"2015-02-06 12:15:13.037+03";"2017-08-28 15:52:48.316+03"
"82326665";"43000013889";"124350";"2015-02-06 21:23:10.143+03";"2015-05-18 10:20:02.634+03"
"80003155";"43000014128";"124377";"2015-02-08 17:46:25.85+03";"2018-11-15 13:23:55.64+03"
"82495543";"43000014421";"124477";"2015-02-09 18:32:47.755+03";"2016-06-02 12:49:01.24+03"
"82505396";"43000014453";"124479";"2015-02-09 20:12:37.091+03";"2016-04-25 14:15:09.501+03"
"82501084";"43000014454";"124480";"2015-02-09 20:14:52.779+03";"2016-09-13 18:30:41.854+03"
