"epgu_id";"ku_id";"reg_id";"create_date";"update_date"
"76898322";"45000001014";"105715";"2014-11-24 23:44:06.534+03";"2014-12-01 12:42:00.986+03"
"76909565";"45000001024";"105565";"2014-11-25 07:24:30.34+03";"2016-06-02 12:52:15.812+03"
"76937534";"45000001058";"105569";"2014-11-25 12:11:43.347+03";"2014-12-08 14:04:37.998+03"
"77035407";"45000002547";"108228";"2014-12-14 18:12:25.723+03";"2015-01-03 12:30:50.641+03"
"81663662";"45000010969";"109456";"2015-01-29 16:02:25.801+03";"2015-11-05 15:09:59.669+03"
"81663329";"45000010973";"109457";"2015-01-29 16:06:32.442+03";"2016-06-02 12:41:16.115+03"
"81706193";"45000011243";"";"2015-01-30 07:55:31.056+03";"2015-02-02 11:43:55.923+03"
"81721553";"45000011314";"";"2015-01-30 11:02:58.015+03";"2015-02-02 14:51:15.266+03"
"81725941";"45000011341";"";"2015-01-30 11:45:04.77+03";"2015-02-02 11:33:14.273+03"
"81726864";"45000011351";"";"2015-01-30 11:54:08.547+03";"2015-02-02 11:42:22.311+03"
"81865732";"45000012030";"";"2015-02-01 16:19:39.709+03";"2015-02-02 12:41:58.204+03"
"81885269";"45000012123";"";"2015-02-01 20:43:34.33+03";"2015-02-02 13:53:51.981+03"
"81959155";"45000012411";"";"2015-02-02 17:01:59.474+03";"2015-02-02 17:02:01.268+03"
"82009711";"45000012658";"";"2015-02-03 09:55:15.477+03";"2015-02-03 09:55:17.143+03"
"82022313";"45000012719";"";"2015-02-03 12:08:24.33+03";"2015-02-03 12:08:26.255+03"
"82092169";"45000013143";"";"2015-02-04 09:41:33.151+03";"2015-02-04 09:41:34.856+03"
"78911720";"45000013444";"";"2015-02-04 21:07:24.222+03";"2015-02-04 21:07:35.378+03"
"82127095";"45000013611";"";"2015-02-05 19:03:19.611+03";"2015-02-05 19:03:25.936+03"
"81619336";"45000014296";"";"2015-02-09 12:47:10.386+03";"2015-02-09 12:47:11.906+03"
"82467864";"45000014308";"";"2015-02-09 13:28:11.296+03";"2015-02-09 13:28:13.737+03"
"82756167";"45000015477";"110290";"2015-02-12 14:10:53.294+03";"2015-04-21 12:18:15.01+03"
"82744367";"45000015618";"110298";"2015-02-13 05:57:59.92+03";"2015-02-13 10:50:28.898+03"
"80924987";"45000015628";"110299";"2015-02-13 07:26:36.495+03";"2015-02-13 10:53:51.854+03"
"84594368";"45000020263";"111313";"2015-03-11 08:14:15.537+03";"2015-03-11 14:24:30.004+03"
"84639852";"45000020402";"111315";"2015-03-11 15:27:35.031+03";"2015-03-11 15:47:38.119+03"
"84641598";"45000020468";"111316";"2015-03-11 17:49:14.58+03";"2015-03-16 14:45:52.338+03"
"85616660";"45000022957";"111582";"2015-03-24 21:37:29.378+03";"2016-06-02 12:41:21.615+03"
"85642681";"45000023013";"111593";"2015-03-25 09:57:19.006+03";"2015-03-25 09:57:20.482+03"
"85801363";"45000023495";"111637";"2015-03-27 08:47:03.488+03";"2015-03-31 13:14:53.35+03"
"86086365";"45000024181";"111754";"2015-03-31 13:42:19.447+03";"2016-06-02 12:41:22.806+03"
"86089775";"45000024190";"111755";"2015-03-31 14:12:59.127+03";"2016-06-02 12:41:22.866+03"
"86082314";"45000024310";"";"2015-04-01 08:15:48.202+03";"2015-04-01 08:20:26.645+03"
"86156612";"45000025134";"";"2015-04-05 08:49:40.448+03";"2015-04-05 08:49:45.2+03"
"86463595";"45000025178";"";"2015-04-05 14:00:08.77+03";"2015-04-05 14:00:18.423+03"
"86733943";"45000026065";"";"2015-04-08 19:28:08.261+03";"2015-04-08 19:28:14.129+03"
"86569908";"45000026119";"";"2015-04-09 07:38:17.017+03";"2015-04-09 07:38:21.394+03"
"87167690";"45000026926";"";"2015-04-15 06:13:52.585+03";"2015-04-15 06:14:01.71+03"
"87598682";"45000028043";"";"2015-04-21 09:30:57.121+03";"2015-04-21 09:30:58.594+03"
"80329377";"45000028466";"";"2015-04-23 11:44:09.378+03";"2015-04-23 11:44:10.761+03"
"88402397";"45000029882";"";"2015-05-04 11:47:56.121+03";"2015-05-04 11:47:59.48+03"
"88687099";"45000030465";"";"2015-05-07 19:11:33.623+03";"2015-05-07 19:11:45.642+03"
"88854586";"45000030674";"";"2015-05-11 13:58:01.038+03";"2015-05-11 13:58:05.106+03"
"88913139";"45000030752";"";"2015-05-12 12:11:15.891+03";"2015-05-12 12:11:24.721+03"
"89501655";"45000031598";"";"2015-05-19 14:36:46.228+03";"2015-05-19 14:36:47.568+03"
"89676126";"45000031849";"";"2015-05-21 13:02:44.811+03";"2015-05-21 13:02:49.957+03"
"89823201";"45000032038";"";"2015-05-23 09:23:09.624+03";"2015-05-23 09:23:11.181+03"
"90074305";"45000032329";"";"2015-05-26 12:51:13.878+03";"2016-06-02 12:41:25.474+03"
"90969610";"45000033042";"114240";"2015-06-01 17:23:22.89+03";"2015-06-30 12:55:41.598+03"
"87639085";"45000033212";"114270";"2015-06-02 20:11:27.179+03";"2016-06-02 12:52:23.569+03"
"91975050";"45000034479";"114560";"2015-06-15 12:19:40.459+03";"2015-06-17 08:41:22.923+03"
"92316941";"45000035007";"114665";"2015-06-18 21:47:46.809+03";"2015-06-19 08:04:07.305+03"
"93068228";"45000035882";"114852";"2015-06-28 19:01:26.919+03";"2015-06-29 12:04:37.871+03"
"93456279";"45000036442";"114977";"2015-07-03 07:47:33.667+03";"2015-11-17 07:27:16.876+03"
"93567388";"45000037129";"115871";"2015-07-09 17:34:33.999+03";"2015-07-10 09:22:46.964+03"
"94258187";"45000037438";"115908";"2015-07-13 20:09:11.433+03";"2015-07-21 06:43:33.41+03"
"94627493";"45000037844";"116037";"2015-07-17 16:22:16.396+03";"2015-07-21 06:36:11.127+03"
"95324171";"45000039108";"116166";"2015-07-29 05:32:57.294+03";"2015-07-29 13:59:07.788+03"
"96206951";"45000040135";"116346";"2015-08-06 21:19:27.876+03";"2015-08-11 06:53:01.438+03"
"96112449";"45000040332";"116364";"2015-08-08 14:01:21.345+03";"2015-08-11 08:35:16.398+03"
"97240113";"45000041307";"116570";"2015-08-17 16:58:17.561+03";"2015-09-04 07:21:19.758+03"
"97374028";"45000041549";"116618";"2015-08-18 22:21:01.041+03";"2015-09-01 08:34:46.252+03"
